,ForceType,Sex,Race,TypeOfResistance,Neighborhood,Problem,PrimaryOffense,CenterLatitude,CenterLongitude
22057,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,North Loop,Theft ,THEFT,44.98431,-93.279496
22058,Chemical Irritant,Male,Black,Verbal Non-Compliance                                                          ,Downtown West,Disturbance ,DISCON,44.980065,-93.271883
22059,Bodily Force,Male,White,Tensed                                                                         ,CARAG,Overdose-Accidental ,CIC,44.938603,-93.297114
22060,Chemical Irritant,Male,Black,Commission of a Crime                                                          ,Longfellow,Suspicious Person ,FORCE,44.948374,-93.233729
22062,Bodily Force,Male,Black,Fled on Foot                                                                   ,Tangletown,Unknown Wireless/Cell Phone,FORCE,44.91867,-93.287036
22063,Bodily Force,Male,Unknown,Verbal Non-Compliance                                                          ,Downtown West,Unwanted Person ,FORCE,44.979187,-93.273109
22064,Bodily Force,Male,White,Assaulted Officer                                                              ,Downtown West,Unknown Trouble ,ASLT4,44.977573,-93.270741
22065,Bodily Force,not recorded,not recorded,Verbal Non-Compliance                                                          ,Cleveland,Person with a Weapon ,DAMPRP,45.017756,-93.308259
22066,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Down Outside-One w/Fire ,THEFT,44.979295,-93.27023
22067,Bodily Force,Male,Black,Tensed                                                                         ,Lowry Hill East,Suspicious Person ,CIC,44.953742,-93.293792
22068,Bodily Force,Male,Black,Other                                                                          ,Folwell,Suspicious Vehicle ,DWI,45.016733,-93.293698
22069,Bodily Force,Male,Unknown,Verbal Non-Compliance                                                          ,Nicollet Island - East Bank,Fight ,ASLT2,44.98734,-93.258263
22070,Chemical Irritant,Male,Black,Other                                                                          ,Near - North,Domestic ,OBSTRU,44.99578,-93.297172
22071,Bodily Force,Female,Black,Commission of a Crime                                                          ,Downtown West,Unknown Trouble ,ASLT4,44.977582,-93.275347
22072,Bodily Force,Male,Native American,Commission of a Crime                                                          ,CARAG,Suspicious Vehicle ,NARC,44.946598,-93.292576
22073,Bodily Force,Male,Black,Commission of a Crime                                                          ,Downtown West,Assault in Progress ,ASLT5,44.981648,-93.273116
22074,Bodily Force,Male,Black,Tensed                                                                         ,Ventura Village,Assault in Progress ,DASTR,44.960903,-93.265761
22075,Bodily Force,Male,White,Fled on Foot                                                                   ,Near - North,Assist Other Agency ,AOA,44.999111,-93.281017
22077,Bodily Force,Male,Native American,Fled on Foot                                                                   ,Harrison,Traffic Law Enforcement ,WT,44.98115,-93.308317
22078,Bodily Force,Male,White,Fled on Foot                                                                   ,Downtown West,Traffic Law Enforcement ,DWI,44.981378,-93.26115
22079,Bodily Force,Unknown,Unknown,Tensed                                                                         ,Near - North,Emotionally Disturb Person ,CIC,44.991192,-93.298199
22080,Maximal Restraint Technique,Male,White,Assaulted Officer                                                              ,Powderhorn Park,Overdose-Accidental ,ASLT4,44.943836,-93.255018
22081,Chemical Irritant,Male,Black,Other                                                                          ,Marcy Holmes,Assist EMS Personnel ,DISCON,44.983379,-93.253888
22082,Bodily Force,Male,Black,Tensed                                                                         ,Marcy Holmes,Assault in Progress ,CIC,44.986604,-93.249497
22083,Bodily Force,Male,Black,Assaulted Officer                                                              ,Downtown West,Fight ,FORCE,44.982462,-93.273107
22085,Bodily Force,Male,Black,Fled on Foot                                                                   ,Willard - Hay,Suspicious Vehicle ,STOLMV,45.004039,-93.308476
22087,Bodily Force,Male,Unknown,Other                                                                          ,Downtown West,Suspicious Person ,OBSTRU,44.976803,-93.270476
22088,Bodily Force,Male,Unknown,Verbal Non-Compliance                                                          ,Downtown West,Unwanted Person ,FORCE,44.979187,-93.273109
22089,Taser,Male,White,Assaulted Officer                                                              ,Downtown West,Unknown Trouble ,ASLT4,44.977573,-93.270741
22090,Chemical Irritant,Unknown,Unknown,Other                                                                          ,Victory,Fight ,FORCE,45.034413,-93.305988
22091,Bodily Force,Male,Black,Other                                                                          ,Sumner - Glenwood,Domestic Abuse-In Progress ,DOMEN,44.987706,-93.290925
22092,Bodily Force,Female,Black,Other                                                                          ,Folwell,Domestic Abuse-In Progress ,OBSTRU,45.013147,-93.296217
22093,Bodily Force,Male,White,Assaulted Officer                                                              ,Powderhorn Park,Overdose-Accidental ,ASLT4,44.943836,-93.255018
22094,Bodily Force,Male,Black,Tensed                                                                         ,Downtown West,Person with a Weapon ,CIC,44.979986,-93.274284
22095,Bodily Force,Male,White,Verbal Non-Compliance                                                          ,North Loop,Damage Property-In Progress,DAMMV,44.983339,-93.269617
22098,Maximal Restraint Technique,Female,Black,Tensed                                                                         ,Lyndale,Domestic Abuse-In Progress ,OFPEN,44.947488,-93.286833
22099,Bodily Force,Male,Black,Assaulted Officer                                                              ,North Loop,Damage Property-In Progress,ASLT4,44.977192,-93.281585
22100,Bodily Force,Female,White,Assaulted Officer                                                              ,Powderhorn Park,Domestic Abuse-In Progress ,DASLT5,44.946101,-93.255039
22101,Bodily Force,Male,Black,Fled in a Vehicle                                                              ,Lind - Bohanon,Motor Vehicle Chase ,NARC,45.043916,-93.297263
22102,Bodily Force,Male,White,Assaulted Officer                                                              ,Lowry Hill East,Assault in Progress ,ASLT4,44.948811,-93.298279
22104,Maximal Restraint Technique,Female,Black,Assaulted Officer                                                              ,Downtown West,Fight ,ASLT4,44.979626,-93.272499
22105,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Harrison,Suspicious Vehicle ,NARC,44.982621,-93.298798
22106,Bodily Force,Male,Black,Verbal Non-Compliance                                                          ,Near - North,Unknown Trouble ,THREAT,44.998281,-93.294115
22108,Bodily Force,Male,Black,Assaulted Officer                                                              ,Steven's Square - Loring Heights,Domestic Abuse-In Progress ,DASTR,44.965747,-93.27276
22109,Bodily Force,Male,Unknown,Assaulted Officer                                                              ,Ventura Village,Assist EMS Personnel ,FORCE,44.961793,-93.26766
22111,Chemical Irritant,Male,Black,Other                                                                          ,Downtown West,Assist Fire Personnel ,ARSON,44.973901,-93.272921
22112,Bodily Force,Male,Black,Assaulted Officer                                                              ,Seward,Officer Needs Help ,ASLT4,44.962747,-93.24172
